timestamp,label,scope,actual,expected,previous,vs_previous_passed,vs_previous_added,vs_previous_missing,expected_total_extra_3dp,expected_total_missing_3dp,expected_mismatch_count_3dp,l_sec_extra_3dp,l_sec_missing_3dp,l_usec_extra_3dp,l_usec_missing_3dp,l_usec_0_extra_3dp,l_usec_0_missing_3dp,l_usec2012_extra_3dp,l_usec2012_missing_3dp,l_usec3018_extra_3dp,l_usec3018_missing_3dp,expected_total_extra_2dp,expected_total_missing_2dp,expected_mismatch_count_2dp,l_sec_extra_2dp,l_sec_missing_2dp,l_usec_extra_2dp,l_usec_missing_2dp,l_usec_0_extra_2dp,l_usec_0_missing_2dp,l_usec2012_extra_2dp,l_usec2012_missing_2dp,l_usec3018_extra_2dp,l_usec3018_missing_2dp,expected_total_extra_1dp,expected_total_missing_1dp,expected_mismatch_count_1dp,l_sec_extra_1dp,l_sec_missing_1dp,l_usec_extra_1dp,l_usec_missing_1dp,l_usec_0_extra_1dp,l_usec_0_missing_1dp,l_usec2012_extra_1dp,l_usec2012_missing_1dp,l_usec3018_extra_1dp,l_usec3018_missing_1dp
2026-04-18T00:38:17-03:00,rerun181,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun181-atsonly-qv-reverted-current-baseline\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun176-atsonly-qv-openT-nearby-anchored\artifacts\output.dxf,True,0,0,22,22,22,0,0,22,22,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-18T00:44:28-03:00,rerun182,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun182-atsonly-qv-preserve-ordinary-when-no-outer\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun181-atsonly-qv-reverted-current-baseline\artifacts\output.dxf,False,2,2,23,22,23,0,0,23,22,0,0,0,0,0,0,16,15,16,0,0,16,15,0,0,0,0,0,0,10,9,10,0,0,10,9,0,0,0,0,0,0
2026-04-18T01:06:30-03:00,rerun183,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun183-atsonly-qv-junction-snap1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun181-atsonly-qv-reverted-current-baseline\artifacts\output.dxf,False,80,80,22,22,22,0,0,22,22,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-18T01:23:27-03:00,rerun184,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun184-atsonly-qv-qsec-terminal-rank1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun181-atsonly-qv-reverted-current-baseline\artifacts\output.dxf,False,25,55,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T01:30:31-03:00,rerun185,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun185-atsonly-qv-qsec-terminal-rank1-restoretol\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun184-atsonly-qv-qsec-terminal-rank1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T01:44:15-03:00,rerun186,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun186-atsonly-qv-openT-preserve-higherdegree1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun184-atsonly-qv-qsec-terminal-rank1\artifacts\output.dxf,False,24,24,23,23,23,0,0,23,23,0,0,0,0,0,0,16,16,16,0,0,16,16,0,0,0,0,0,0,10,10,10,0,0,10,10,0,0,0,0,0,0
2026-04-18T01:50:19-03:00,rerun187,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun184-atsonly-qv-qsec-terminal-rank1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T13:13:05-03:00,rerun188,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun188-atsonly-qv-westcorr-carvedouter1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T13:33:29-03:00,rerun190-atsonly-qv-usec-station-microsnap1-cleanseed,twp43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun190-atsonly-qv-usec-station-microsnap1-cleanseed\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T15:28:43-03:00,rerun191-owner-span-samples1,twp43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun191-atsonly-qv-owner-span-samples1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T15:31:16-03:00,rerun192-owner-span-trace1,twp43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun192-atsonly-qv-owner-span-trace1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T15:36:01-03:00,rerun194-revert-owner-span-probe,twp43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun194-atsonly-qv-revert-owner-span-probe\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun187-atsonly-qv-revert-after-bad-openT-higherdegree1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T17:20:03-03:00,rerun195-atsonly-qv-ordinary-qsec-gap-stitch1,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun195-atsonly-qv-ordinary-qsec-gap-stitch1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun194-atsonly-qv-revert-owner-span-probe\artifacts\output.dxf,False,176,176,28,28,28,0,0,28,28,0,0,0,0,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0
2026-04-18T17:22:43-03:00,rerun196-atsonly-qv-revert-after-bad-ordinary-qsec-gap-stitch1,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun196-atsonly-qv-revert-after-bad-ordinary-qsec-gap-stitch1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun194-atsonly-qv-revert-owner-span-probe\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T21:34:53-03:00,rerun201,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun201-atsonly-qv-revert-after-variant-qsec-clamp1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun196-atsonly-qv-revert-after-bad-ordinary-qsec-gap-stitch1\artifacts\output.dxf,True,0,0,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T23:36:20-03:00,rerun203,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun203-atsonly-qv-west-seam-short-inner-companion2\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun201-atsonly-qv-revert-after-variant-qsec-clamp1\artifacts\output.dxf,False,2,1,21,21,21,0,0,21,21,0,0,0,0,0,0,14,14,14,0,0,14,14,0,0,0,0,0,0,8,8,8,0,0,8,8,0,0,0,0,0,0
2026-04-18T23:38:18-03:00,rerun204,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun201-atsonly-qv-revert-after-variant-qsec-clamp1\artifacts\output.dxf,False,2,1,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:02:36-03:00,rerun205-qsec-corrzero-priority,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun205-atsonly-qv-qsec-corrzero-priority\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,86,90,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:06:53-03:00,rerun206-qsec-source-sync,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun206-atsonly-qv-qsec-source-sync\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,450,450,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:08:27-03:00,rerun207-qsec-southonly-corr,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun207-atsonly-qv-qsec-southonly-corr\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,145,145,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:11:14-03:00,rerun208-qsec-first-correction-band,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun208-atsonly-qv-qsec-first-correction-band\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,99,99,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:13:15-03:00,rerun209-qsec-first-band-c0,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun209-atsonly-qv-qsec-first-band-c0\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,99,99,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T00:15:01-03:00,rerun210-qsec-first-band-c0-filtered,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun210-atsonly-qv-qsec-first-band-c0-filtered\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun204-atsonly-qv-west-seam-short-inner-companion3\artifacts\output.dxf,False,99,99,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T11:26:22-03:00,rerun212,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun212-atsonly-qv-qsec-sec3-southcorr-frame1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun211-atsonly-qv-revert-after-qsec-experiments\artifacts\output.dxf,True,0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T11:28:55-03:00,rerun213,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun213-atsonly-qv-qsec-sec3-southcorr-frame2\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun211-atsonly-qv-revert-after-qsec-experiments\artifacts\output.dxf,True,0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T11:51:08-03:00,rerun219,twp43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun219-atsonly-qv-qsec-vertical-posttrim1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun217-atsonly-qv-revert-after-bad-sec3-wrapper\artifacts\output.dxf,False,450,450,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T18:18:02-03:00,rerun227,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun227-atsonly-qv-sec1-qsec-preservepref-cleanfinal\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,,,,,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T18:18:03-03:00,rerun228,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun228-atsonly-qv-sec1-drop-terminal-corridor-split1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun227-atsonly-qv-sec1-qsec-preservepref-cleanfinal\artifacts\output.dxf,False,25,37,23,23,23,0,0,23,23,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-19T18:26:03-03:00,rerun229,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun229-atsonly-qv-sec1-drop-lower-corridor1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun227-atsonly-qv-sec1-qsec-preservepref-cleanfinal\artifacts\output.dxf,True,0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T18:35:43-03:00,rerun232,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun232-atsonly-qv-rollback-check-sec1-corridor\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun227-atsonly-qv-sec1-qsec-preservepref-cleanfinal\artifacts\output.dxf,True,0,0,20,20,20,0,0,20,20,0,0,0,0,0,0,13,13,13,0,0,13,13,0,0,0,0,0,0,7,7,7,0,0,7,7,0,0,0,0,0,0
2026-04-19T18:39:19-03:00,rerun233,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun233-atsonly-qv-sec1-corridor-crossguard1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun227-atsonly-qv-sec1-qsec-preservepref-cleanfinal\artifacts\output.dxf,False,16,28,23,23,23,0,0,23,23,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-19T19:56:01-03:00,rerun234,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun234-atsonly-qv-sec1-east-companion-hardstop1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun233-atsonly-qv-sec1-corridor-crossguard1\artifacts\output.dxf,False,9,9,23,23,23,0,0,23,23,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-19T19:57:51-03:00,rerun235,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun235-atsonly-qv-sec1-east-companion-hardstop2\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun233-atsonly-qv-sec1-corridor-crossguard1\artifacts\output.dxf,False,1,1,23,23,23,0,0,23,23,0,0,0,0,0,0,15,15,15,0,0,15,15,0,0,0,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0
2026-04-19T20:43:53-03:00,rerun236,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun236-atsonly-qv-sec1-east-vertical-companion1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun235-atsonly-qv-sec1-east-companion-hardstop2\artifacts\output.dxf,False,6,6,24,24,24,1,1,23,23,0,0,0,0,0,0,16,16,16,1,1,15,15,0,0,0,0,0,0,10,10,10,1,1,9,9,0,0,0,0,0,0
2026-04-19T20:54:49-03:00,rerun237,43-8-5,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun237-atsonly-qv-sec1-east-c0-overlap1\artifacts\output.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\src\AtsBackgroundBuilder\REFERENCE ONLY\43-8-5 corrected.dxf,C:\Users\Jesse 2025\Desktop\COMPLETE DRAFT\data\twp43-8-5-reference-compare-rerun236-atsonly-qv-sec1-east-vertical-companion1\artifacts\output.dxf,True,0,0,24,24,24,1,1,23,23,0,0,0,0,0,0,16,16,16,1,1,15,15,0,0,0,0,0,0,10,10,10,1,1,9,9,0,0,0,0,0,0
